Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,2130.42,наличный,Гродно,МаксБанк-MRIM-983,08-02-2009,01:00:02,успешно,нет,0.0
физ. лицо,списание средств,4598.32,безналичный,Гродно,Беларусбанк-FQIU-837,30-01-2010,03:32:21,недостаточно средств,да,198.65
физ. лицо,получение средств,2753.0,наличный,Брест,МаксБанк-JXRV-906,25-07-2016,04:30:07,успешно,нет,0.0
физ. лицо,получение средств,3532.26,безналичный,Гомель,Беларусбанк-YGWU-984,10-08-2001,15:34:54,успешно,нет,0.0
физ. лицо,получение средств,1033.85,наличный,Гомель,БелАгропромбанк-QJXE-399,19-09-2009,04:16:51,успешно,нет,0.0
физ. лицо,получение средств,4170.52,безналичный,Брест,Белинвестбанк-USTD-048,20-08-2020,22:09:23,успешно,нет,0.0
физ. лицо,получение средств,4521.23,наличный,Брест,МаксБанк-DAHJ-846,10-05-2021,00:12:50,успешно,нет,0.0
физ. лицо,списание средств,4380.2,безналичный,Витебск,Белинвестбанк-PLUU-344,05-12-2023,23:34:03,неправильный ввод пин-кода,да,423.34
физ. лицо,списание средств,1805.91,безналичный,Брест,БелАгропромбанк-BVFO-890,26-06-2010,16:21:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4455.58,безналичный,Гродно,Белинвестбанк-HLWZ-417,23-05-2010,01:59:06,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2500.14,безналичный,Витебск,БелАгропромбанк-PSYQ-335,06-02-2011,20:03:11,успешно,нет,0.0
юр. лицо,получение средств,2655.54,безналичный,Витебск,БелАгропромбанк-QLZW-467,26-03-2005,13:28:27,успешно,нет,0.0
юр. лицо,списание средств,1955.01,безналичный,Могилев,Приорбанк-IOHM-132,21-11-2022,01:53:00,недостаточно средств,да,181.27
физ. лицо,получение средств,1002.2,безналичный,Брест,БелАгропромбанк-MFLU-049,10-03-2000,20:50:51,успешно,нет,0.0
физ. лицо,получение средств,2142.14,наличный,Минск,МаксБанк-WJDR-392,16-08-2007,11:13:52,успешно,нет,0.0
юр. лицо,получение средств,468.79,наличный,Гродно,Приорбанк-XJTI-142,03-10-2019,22:32:53,успешно,нет,0.0
физ. лицо,получение средств,1559.63,наличный,Могилев,БелАгропромбанк-EIFV-531,09-07-2011,14:56:43,успешно,нет,0.0
физ. лицо,списание средств,705.7,наличный,Могилев,Приорбанк-JVQK-760,10-04-2001,04:40:41,успешно,да,50.4
юр. лицо,списание средств,4414.02,наличный,Минск,Белинвестбанк-IQMV-974,02-07-2007,19:29:05,неправильный ввод пин-кода,да,154.3
физ. лицо,списание средств,508.36,безналичный,Витебск,МаксБанк-TMEJ-670,30-11-2013,07:48:56,неправильный ввод пин-кода,да,25.69
физ. лицо,получение средств,2454.98,наличный,Брест,Белинвестбанк-SELJ-018,26-08-2005,22:11:26,успешно,нет,0.0
юр. лицо,списание средств,834.78,безналичный,Гомель,Приорбанк-USPF-826,10-10-2010,11:26:28,успешно,нет,0.0
физ. лицо,списание средств,551.15,наличный,Могилев,Беларусбанк-ANMO-185,27-08-2008,16:48:25,недостаточно средств,нет,0.0
физ. лицо,получение средств,1182.75,безналичный,Минск,Белинвестбанк-NRGM-596,04-07-2009,04:49:34,успешно,нет,0.0
юр. лицо,получение средств,4402.16,безналичный,Могилев,Приорбанк-DKOL-656,05-11-2001,23:02:12,успешно,нет,0.0
физ. лицо,получение средств,2344.45,безналичный,Минск,Белинвестбанк-JRBI-500,20-10-2000,09:19:25,успешно,нет,0.0
физ. лицо,списание средств,2530.4,безналичный,Могилев,БелАгропромбанк-NWJN-677,11-08-2019,14:49:19,неправильный ввод пин-кода,да,227.06
юр. лицо,списание средств,3184.92,безналичный,Брест,Белинвестбанк-BNEM-654,08-12-2008,20:44:10,неправильный ввод пин-кода,да,275.89
юр. лицо,списание средств,4273.21,наличный,Минск,Белинвестбанк-PJHQ-818,16-09-2011,10:54:53,недостаточно средств,нет,0.0
физ. лицо,списание средств,2309.07,наличный,Витебск,Приорбанк-ANPO-017,28-10-2007,16:56:22,недостаточно средств,нет,0.0
физ. лицо,получение средств,4768.55,безналичный,Минск,Белинвестбанк-ZFRS-933,01-11-2006,06:17:26,успешно,нет,0.0
юр. лицо,получение средств,4488.0,наличный,Витебск,БелАгропромбанк-DSFR-817,21-03-2010,11:07:46,успешно,нет,0.0
физ. лицо,списание средств,2731.09,наличный,Брест,Приорбанк-LMQB-858,15-04-2007,11:36:58,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4730.84,безналичный,Минск,БелАгропромбанк-SKTB-837,03-06-2009,03:15:53,недостаточно средств,нет,0.0
физ. лицо,получение средств,1122.07,наличный,Витебск,БелАгропромбанк-DHEW-435,26-08-2020,06:45:35,успешно,нет,0.0
физ. лицо,получение средств,2863.35,безналичный,Гродно,Приорбанк-EMJM-074,18-09-2016,17:26:33,успешно,нет,0.0
юр. лицо,списание средств,3925.11,безналичный,Витебск,Белинвестбанк-OPAJ-878,27-05-2000,04:59:42,успешно,да,183.03
физ. лицо,получение средств,3633.08,безналичный,Могилев,Белинвестбанк-YEKI-928,17-08-2017,12:22:57,успешно,нет,0.0
юр. лицо,списание средств,1975.66,наличный,Минск,БелАгропромбанк-KWAX-494,04-05-2000,23:10:49,неправильный ввод пин-кода,да,177.62
физ. лицо,списание средств,1554.85,наличный,Могилев,Приорбанк-YQGY-562,24-03-2009,06:38:23,недостаточно средств,нет,0.0
юр. лицо,списание средств,2746.55,наличный,Гродно,Белинвестбанк-KAGW-338,02-03-2013,10:21:08,недостаточно средств,нет,0.0
юр. лицо,получение средств,4663.63,наличный,Могилев,БелАгропромбанк-JZUE-142,03-12-2024,08:37:00,успешно,нет,0.0
физ. лицо,получение средств,759.71,безналичный,Витебск,БелАгропромбанк-YZGO-059,11-12-2023,14:58:24,успешно,нет,0.0
физ. лицо,списание средств,575.65,наличный,Гродно,БелАгропромбанк-IJLR-149,15-07-2018,08:10:39,недостаточно средств,нет,0.0
юр. лицо,получение средств,3898.06,безналичный,Могилев,Беларусбанк-TRLF-365,17-01-2014,23:47:00,успешно,нет,0.0
физ. лицо,списание средств,2343.15,безналичный,Минск,Белинвестбанк-ZEQD-106,25-02-2006,16:43:43,успешно,нет,0.0
физ. лицо,списание средств,417.88,безналичный,Гродно,БелАгропромбанк-EJOY-890,27-11-2014,12:36:56,успешно,нет,0.0
юр. лицо,получение средств,1850.09,наличный,Витебск,Приорбанк-JABM-798,05-02-2017,13:23:09,успешно,нет,0.0
юр. лицо,получение средств,930.77,наличный,Витебск,Белинвестбанк-KHKN-848,02-01-2013,09:13:51,успешно,нет,0.0
юр. лицо,получение средств,3666.88,безналичный,Гомель,Беларусбанк-WGGV-363,02-04-2020,01:35:29,успешно,нет,0.0
физ. лицо,списание средств,1255.1,наличный,Минск,МаксБанк-XEZP-457,25-05-2011,23:22:49,успешно,да,50.3
юр. лицо,получение средств,3886.94,безналичный,Минск,Приорбанк-RHTU-914,06-05-2014,11:18:06,успешно,нет,0.0
юр. лицо,получение средств,2050.27,наличный,Гомель,Белинвестбанк-NOUW-645,07-12-2013,03:00:06,успешно,нет,0.0
юр. лицо,получение средств,1133.24,безналичный,Гомель,БелАгропромбанк-DNRA-590,14-06-2024,19:01:56,успешно,нет,0.0
физ. лицо,списание средств,2123.71,безналичный,Витебск,Белинвестбанк-GDKK-355,31-08-2010,20:26:24,успешно,да,27.57
юр. лицо,получение средств,746.96,безналичный,Брест,МаксБанк-ICTP-442,13-02-2010,08:24:43,успешно,нет,0.0
физ. лицо,получение средств,2595.25,наличный,Могилев,Приорбанк-WCGJ-262,05-05-2016,20:45:21,успешно,нет,0.0
физ. лицо,получение средств,3881.45,безналичный,Витебск,Приорбанк-DRKQ-700,01-04-2007,15:56:04,успешно,нет,0.0
физ. лицо,списание средств,2058.68,наличный,Гродно,Приорбанк-PCIX-996,19-10-2017,15:48:08,успешно,да,60.38
юр. лицо,получение средств,2375.99,наличный,Минск,БелАгропромбанк-PDQQ-551,25-12-2008,12:42:13,успешно,нет,0.0
юр. лицо,получение средств,1055.24,наличный,Брест,МаксБанк-DQVE-919,25-03-2024,15:48:41,успешно,нет,0.0
физ. лицо,списание средств,1770.59,наличный,Минск,Белинвестбанк-OVOJ-485,14-08-2002,23:59:01,недостаточно средств,нет,0.0
физ. лицо,получение средств,3161.66,наличный,Гомель,БелАгропромбанк-LQFS-258,24-06-2009,10:05:34,успешно,нет,0.0
физ. лицо,списание средств,2448.57,безналичный,Витебск,Белинвестбанк-QYEW-391,02-11-2008,12:20:17,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4280.42,наличный,Гродно,БелАгропромбанк-JDVI-080,15-05-2003,00:40:34,неправильный ввод пин-кода,да,174.83
физ. лицо,получение средств,4777.21,безналичный,Минск,Белинвестбанк-YJRV-150,26-07-2014,05:06:16,успешно,нет,0.0
юр. лицо,получение средств,3880.57,безналичный,Могилев,Белинвестбанк-TQXG-694,14-02-2005,00:25:48,успешно,нет,0.0
физ. лицо,получение средств,4687.99,безналичный,Витебск,Белинвестбанк-FANT-149,05-11-2021,00:48:57,успешно,нет,0.0
юр. лицо,получение средств,3844.39,безналичный,Витебск,БелАгропромбанк-BUXA-269,12-09-2019,13:42:14,успешно,нет,0.0
юр. лицо,списание средств,1250.06,наличный,Гродно,Приорбанк-WJFR-902,01-09-2014,06:06:09,неправильный ввод пин-кода,да,40.92
физ. лицо,списание средств,523.53,безналичный,Гомель,Белинвестбанк-UZWU-023,31-12-2024,20:23:28,успешно,нет,0.0
физ. лицо,списание средств,4970.13,наличный,Минск,Белинвестбанк-GOUB-502,17-09-2023,10:39:48,успешно,да,310.18
юр. лицо,получение средств,3492.7,наличный,Гродно,Белинвестбанк-LPHW-272,27-03-2015,10:11:07,успешно,нет,0.0
юр. лицо,получение средств,1366.73,безналичный,Минск,БелАгропромбанк-IWTW-217,19-02-2004,22:01:43,успешно,нет,0.0
юр. лицо,получение средств,1844.33,безналичный,Минск,Белинвестбанк-BEDF-223,27-06-2006,22:16:34,успешно,нет,0.0
юр. лицо,получение средств,4841.84,безналичный,Гродно,Белинвестбанк-IGUE-585,20-06-2001,00:11:32,успешно,нет,0.0
физ. лицо,списание средств,4544.2,наличный,Витебск,БелАгропромбанк-QADO-252,23-11-2022,23:45:53,недостаточно средств,нет,0.0
физ. лицо,получение средств,2227.49,наличный,Могилев,Белинвестбанк-OBRM-495,20-06-2020,11:44:00,успешно,нет,0.0
юр. лицо,списание средств,3093.14,безналичный,Брест,Белинвестбанк-ZWJP-790,11-09-2009,00:44:02,недостаточно средств,нет,0.0
юр. лицо,списание средств,4530.35,наличный,Витебск,БелАгропромбанк-XGZC-443,13-09-2003,08:15:44,успешно,да,104.22
физ. лицо,получение средств,3022.66,безналичный,Гомель,МаксБанк-EHUD-163,06-04-2003,14:27:34,успешно,нет,0.0
физ. лицо,списание средств,2443.56,безналичный,Могилев,МаксБанк-WLTB-349,08-08-2009,01:47:40,успешно,да,226.86
физ. лицо,получение средств,3886.74,безналичный,Гродно,Приорбанк-KFIL-819,18-02-2021,18:18:35,успешно,нет,0.0
физ. лицо,получение средств,4103.64,наличный,Могилев,Приорбанк-BHHC-331,21-09-2001,23:37:26,успешно,нет,0.0
юр. лицо,списание средств,3588.65,безналичный,Витебск,БелАгропромбанк-FAID-295,28-10-2003,13:39:47,успешно,да,101.2
юр. лицо,получение средств,2350.06,наличный,Брест,Приорбанк-CJFH-578,25-11-2001,21:19:31,успешно,нет,0.0
физ. лицо,списание средств,3894.89,наличный,Могилев,Приорбанк-EQTY-568,04-12-2017,03:56:00,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2246.77,безналичный,Брест,Белинвестбанк-YQUE-573,24-12-2007,16:22:59,успешно,нет,0.0
юр. лицо,списание средств,480.33,наличный,Брест,Белинвестбанк-ZIDE-523,04-11-2020,13:05:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,591.27,безналичный,Гродно,БелАгропромбанк-CAVW-358,22-01-2023,00:47:26,успешно,нет,0.0
юр. лицо,списание средств,1406.58,безналичный,Минск,Приорбанк-NGSS-228,27-06-2011,05:02:29,успешно,нет,0.0
физ. лицо,списание средств,514.39,безналичный,Могилев,Приорбанк-LNSF-485,20-05-2008,12:27:40,успешно,нет,0.0
юр. лицо,списание средств,419.33,безналичный,Могилев,МаксБанк-MGIU-765,03-04-2022,11:20:32,недостаточно средств,нет,0.0
юр. лицо,списание средств,1632.64,наличный,Гродно,МаксБанк-NWUW-970,11-08-2004,04:07:03,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,736.27,безналичный,Гродно,МаксБанк-JELU-365,11-11-2020,12:06:57,недостаточно средств,нет,0.0
юр. лицо,получение средств,4468.51,безналичный,Могилев,Приорбанк-UNTU-433,14-04-2019,06:39:48,успешно,нет,0.0
юр. лицо,списание средств,939.19,наличный,Гродно,Белинвестбанк-CCOU-573,04-12-2011,09:56:39,успешно,нет,0.0
физ. лицо,списание средств,2651.05,наличный,Минск,Приорбанк-VAAC-018,24-01-2013,01:51:49,недостаточно средств,нет,0.0
юр. лицо,списание средств,2644.53,безналичный,Минск,Белинвестбанк-ECNE-166,20-10-2008,11:52:04,неправильный ввод пин-кода,да,117.85
юр. лицо,списание средств,279.61,безналичный,Брест,МаксБанк-XTXP-317,31-08-2001,07:15:44,неправильный ввод пин-кода,да,26.7
физ. лицо,списание средств,1434.56,безналичный,Минск,БелАгропромбанк-NIWX-847,23-05-2009,05:23:45,успешно,нет,0.0
физ. лицо,получение средств,3538.74,безналичный,Минск,БелАгропромбанк-KWNN-821,02-10-2006,01:08:06,успешно,нет,0.0
физ. лицо,получение средств,868.22,наличный,Минск,Беларусбанк-FKQS-304,06-11-2005,15:07:48,успешно,нет,0.0
физ. лицо,получение средств,87.72,безналичный,Витебск,Беларусбанк-LGXB-328,12-01-2004,22:24:29,успешно,нет,0.0
юр. лицо,списание средств,4844.19,безналичный,Гомель,БелАгропромбанк-SHPE-449,30-06-2000,03:18:27,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2797.19,безналичный,Минск,МаксБанк-MHNT-693,29-12-2017,16:29:47,неправильный ввод пин-кода,да,238.67
физ. лицо,списание средств,975.05,безналичный,Минск,Белинвестбанк-EVUV-914,25-11-2016,04:15:33,успешно,да,94.47
юр. лицо,получение средств,4719.06,наличный,Могилев,БелАгропромбанк-JCGJ-164,18-05-2010,17:39:39,успешно,нет,0.0
физ. лицо,получение средств,4964.84,безналичный,Брест,Белинвестбанк-PDUX-935,20-09-2016,10:52:55,успешно,нет,0.0
юр. лицо,получение средств,83.42,наличный,Минск,МаксБанк-DWNW-332,18-12-2012,13:50:22,успешно,нет,0.0
физ. лицо,списание средств,3469.08,безналичный,Минск,МаксБанк-FPCU-752,03-03-2024,15:03:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3513.26,безналичный,Гомель,Белинвестбанк-GWHY-003,25-12-2018,23:28:27,успешно,нет,0.0
юр. лицо,списание средств,4107.48,безналичный,Гомель,Белинвестбанк-RAWU-537,10-03-2010,23:47:44,недостаточно средств,нет,0.0
юр. лицо,получение средств,201.2,безналичный,Витебск,БелАгропромбанк-FCOS-664,22-07-2017,00:16:11,успешно,нет,0.0
физ. лицо,получение средств,3196.9,безналичный,Витебск,Белинвестбанк-GBBT-218,26-03-2015,14:01:22,успешно,нет,0.0
физ. лицо,получение средств,3888.62,наличный,Витебск,Беларусбанк-QMAH-826,08-05-2011,06:10:01,успешно,нет,0.0
физ. лицо,получение средств,2887.62,безналичный,Минск,Белинвестбанк-OLQH-994,09-07-2018,02:05:33,успешно,нет,0.0
юр. лицо,получение средств,860.46,наличный,Брест,Приорбанк-UMYK-384,07-11-2016,01:19:28,успешно,нет,0.0
физ. лицо,получение средств,750.16,наличный,Гомель,МаксБанк-QCBI-640,15-07-2000,20:56:37,успешно,нет,0.0
физ. лицо,получение средств,378.31,безналичный,Гомель,МаксБанк-MVVA-713,16-12-2015,03:48:52,успешно,нет,0.0
физ. лицо,списание средств,1051.13,наличный,Минск,Беларусбанк-JUTK-418,26-09-2011,21:56:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,196.76,безналичный,Минск,Белинвестбанк-TISK-601,27-05-2000,14:20:19,недостаточно средств,да,15.64
юр. лицо,получение средств,500.47,безналичный,Брест,БелАгропромбанк-LFTP-548,08-09-2013,13:56:44,успешно,нет,0.0
физ. лицо,списание средств,3151.08,наличный,Могилев,МаксБанк-GTXD-981,01-03-2015,09:19:05,успешно,да,265.32
юр. лицо,получение средств,3822.73,безналичный,Брест,Белинвестбанк-JWSI-571,18-05-2024,20:40:58,успешно,нет,0.0
физ. лицо,получение средств,4000.92,наличный,Брест,Беларусбанк-ZFMD-518,28-08-2017,22:55:10,успешно,нет,0.0
юр. лицо,списание средств,4652.96,наличный,Гродно,БелАгропромбанк-OSGE-980,18-01-2005,00:32:30,недостаточно средств,нет,0.0
юр. лицо,получение средств,1643.59,безналичный,Могилев,БелАгропромбанк-DXJB-091,24-07-2012,14:24:11,успешно,нет,0.0
физ. лицо,списание средств,1162.11,наличный,Минск,Беларусбанк-PYSM-745,28-04-2018,19:18:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2461.1,безналичный,Брест,МаксБанк-FFPC-244,05-10-2009,12:08:50,недостаточно средств,да,29.06
юр. лицо,получение средств,4858.74,наличный,Могилев,МаксБанк-XYXO-752,10-11-2005,19:22:16,успешно,нет,0.0
юр. лицо,списание средств,87.58,наличный,Гродно,Приорбанк-DCPV-049,13-04-2001,11:51:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2929.36,безналичный,Витебск,Приорбанк-AFMJ-536,06-04-2007,19:58:07,неправильный ввод пин-кода,да,172.66
физ. лицо,получение средств,2237.49,безналичный,Могилев,Беларусбанк-FNBZ-338,08-04-2020,21:59:06,успешно,нет,0.0
физ. лицо,получение средств,751.61,наличный,Могилев,Приорбанк-DQUS-161,30-11-2018,07:36:38,успешно,нет,0.0
физ. лицо,получение средств,4506.2,безналичный,Минск,МаксБанк-MHPH-600,08-10-2010,12:27:18,успешно,нет,0.0
физ. лицо,списание средств,1140.91,безналичный,Гомель,МаксБанк-VLSN-516,20-10-2024,11:53:24,успешно,да,36.85
юр. лицо,получение средств,1075.45,безналичный,Минск,МаксБанк-AMPJ-101,04-05-2022,02:48:44,успешно,нет,0.0
юр. лицо,получение средств,780.6,безналичный,Гомель,БелАгропромбанк-VBPL-643,26-04-2023,20:12:09,успешно,нет,0.0
физ. лицо,списание средств,2662.14,безналичный,Витебск,БелАгропромбанк-WVCA-661,16-02-2023,02:57:56,успешно,да,136.93
юр. лицо,списание средств,1859.4,наличный,Брест,Беларусбанк-BLZT-666,15-05-2000,17:14:59,недостаточно средств,нет,0.0
физ. лицо,получение средств,4831.74,безналичный,Витебск,МаксБанк-PXWU-881,18-04-2022,22:48:25,успешно,нет,0.0
юр. лицо,списание средств,1407.15,наличный,Гродно,МаксБанк-JFEG-992,13-02-2003,12:54:27,недостаточно средств,да,130.87
физ. лицо,списание средств,2606.17,безналичный,Витебск,БелАгропромбанк-PJSC-039,17-08-2013,11:18:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4681.69,безналичный,Витебск,Белинвестбанк-UILJ-587,31-07-2013,05:58:16,недостаточно средств,нет,0.0
юр. лицо,списание средств,3281.35,наличный,Могилев,Беларусбанк-BDNZ-841,18-11-2004,12:43:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1099.93,безналичный,Могилев,БелАгропромбанк-DFXT-197,24-08-2013,20:13:30,успешно,нет,0.0
юр. лицо,списание средств,4800.86,наличный,Минск,Приорбанк-DCEP-554,17-08-2015,01:07:26,недостаточно средств,да,400.32
юр. лицо,списание средств,4312.28,наличный,Витебск,Беларусбанк-RPPU-113,26-09-2020,23:45:37,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2735.98,наличный,Могилев,Приорбанк-PUMG-874,01-03-2011,00:52:21,успешно,нет,0.0
юр. лицо,списание средств,1087.33,безналичный,Гомель,Беларусбанк-HEHM-800,14-04-2006,06:05:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4141.79,безналичный,Могилев,Приорбанк-ZQAD-630,10-07-2004,13:41:50,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4791.8,безналичный,Гродно,Белинвестбанк-PBKY-482,26-10-2017,06:11:12,неправильный ввод пин-кода,да,355.9
юр. лицо,списание средств,1303.08,безналичный,Гомель,Беларусбанк-SHPW-983,09-08-2023,01:31:12,успешно,да,93.21
физ. лицо,получение средств,1384.08,наличный,Могилев,Беларусбанк-WCAC-693,22-11-2018,06:27:59,успешно,нет,0.0
физ. лицо,получение средств,4236.25,наличный,Брест,Белинвестбанк-XEZY-669,12-10-2021,03:04:17,успешно,нет,0.0
юр. лицо,получение средств,2142.4,безналичный,Гродно,БелАгропромбанк-USQT-244,08-03-2020,12:48:49,успешно,нет,0.0
юр. лицо,получение средств,1959.18,наличный,Витебск,БелАгропромбанк-LQMN-184,24-08-2023,07:17:07,успешно,нет,0.0
физ. лицо,получение средств,1305.73,наличный,Гродно,Приорбанк-JYVS-465,23-05-2013,10:47:26,успешно,нет,0.0
юр. лицо,получение средств,3431.98,наличный,Витебск,Белинвестбанк-PVSI-100,28-09-2019,01:17:34,успешно,нет,0.0
юр. лицо,получение средств,1671.4,безналичный,Минск,Беларусбанк-ZJKH-309,01-01-2001,05:54:19,успешно,нет,0.0
физ. лицо,списание средств,1896.47,безналичный,Минск,БелАгропромбанк-QQRX-309,14-12-2021,00:03:34,успешно,да,170.29
юр. лицо,списание средств,70.65,безналичный,Брест,БелАгропромбанк-WPQJ-587,03-06-2005,16:09:26,недостаточно средств,да,3.55
юр. лицо,списание средств,3603.77,наличный,Гомель,Беларусбанк-CJOR-289,28-08-2019,01:41:24,недостаточно средств,да,346.67
физ. лицо,получение средств,3703.59,наличный,Брест,Белинвестбанк-EKLY-793,06-02-2019,20:08:17,успешно,нет,0.0
физ. лицо,списание средств,1162.48,безналичный,Гродно,БелАгропромбанк-EXPX-579,01-06-2016,14:24:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3576.79,наличный,Гродно,БелАгропромбанк-BNKN-498,26-05-2013,07:18:18,недостаточно средств,да,296.32
физ. лицо,получение средств,4021.93,безналичный,Брест,Белинвестбанк-PERL-895,10-07-2010,14:54:59,успешно,нет,0.0
юр. лицо,получение средств,264.45,наличный,Гомель,МаксБанк-AZBV-904,14-03-2010,22:18:02,успешно,нет,0.0
физ. лицо,получение средств,3899.29,безналичный,Минск,МаксБанк-DDUW-144,31-10-2018,18:53:07,успешно,нет,0.0
физ. лицо,списание средств,847.67,наличный,Гродно,Беларусбанк-QLQA-191,04-10-2006,05:53:44,недостаточно средств,да,75.71
юр. лицо,получение средств,1016.7,безналичный,Минск,Приорбанк-EKPX-941,08-01-2006,19:58:05,успешно,нет,0.0
юр. лицо,списание средств,3802.14,наличный,Гомель,Приорбанк-OLDT-250,28-02-2005,17:04:01,успешно,да,94.08
физ. лицо,списание средств,4147.71,безналичный,Гомель,Приорбанк-PFCQ-378,02-12-2015,08:21:59,недостаточно средств,да,232.95
физ. лицо,получение средств,799.31,безналичный,Могилев,БелАгропромбанк-IUWS-340,09-04-2002,02:25:37,успешно,нет,0.0
физ. лицо,получение средств,3603.65,наличный,Могилев,Белинвестбанк-TVDF-349,17-02-2016,08:43:38,успешно,нет,0.0
юр. лицо,получение средств,1481.11,наличный,Минск,БелАгропромбанк-RWQX-690,10-04-2008,01:14:04,успешно,нет,0.0
юр. лицо,списание средств,1698.14,наличный,Брест,Приорбанк-EBJU-597,29-09-2016,00:52:32,недостаточно средств,нет,0.0
юр. лицо,списание средств,1724.91,безналичный,Витебск,Приорбанк-LXGV-556,28-04-2019,10:33:09,недостаточно средств,нет,0.0
физ. лицо,получение средств,4734.16,наличный,Гродно,МаксБанк-MLEQ-244,09-11-2006,06:34:45,успешно,нет,0.0
юр. лицо,получение средств,770.73,наличный,Брест,Белинвестбанк-QCLW-499,09-05-2013,00:09:58,успешно,нет,0.0
физ. лицо,получение средств,1643.76,наличный,Витебск,Белинвестбанк-KIOG-259,07-03-2007,04:44:38,успешно,нет,0.0
юр. лицо,получение средств,3125.0,безналичный,Гродно,БелАгропромбанк-YYNO-889,28-08-2006,12:31:56,успешно,нет,0.0
физ. лицо,получение средств,288.08,наличный,Гомель,Беларусбанк-BXDT-699,11-07-2002,11:27:59,успешно,нет,0.0
юр. лицо,получение средств,1604.97,наличный,Минск,МаксБанк-UBRG-007,24-12-2004,11:07:01,успешно,нет,0.0
юр. лицо,списание средств,146.09,безналичный,Гродно,БелАгропромбанк-NSBC-415,24-03-2017,01:36:46,недостаточно средств,да,2.84
юр. лицо,списание средств,4332.02,наличный,Витебск,Приорбанк-NUAH-158,05-06-2024,14:50:08,неправильный ввод пин-кода,да,198.02
физ. лицо,получение средств,4542.09,безналичный,Могилев,Беларусбанк-ZBIG-666,20-06-2012,22:58:53,успешно,нет,0.0
физ. лицо,получение средств,919.07,безналичный,Брест,БелАгропромбанк-OJYN-787,29-10-2021,14:24:46,успешно,нет,0.0
физ. лицо,получение средств,2783.52,безналичный,Гродно,Белинвестбанк-NQQD-619,20-12-2021,00:53:02,успешно,нет,0.0
юр. лицо,получение средств,4334.01,безналичный,Могилев,МаксБанк-CCDS-547,15-07-2023,18:04:12,успешно,нет,0.0
юр. лицо,получение средств,740.66,наличный,Брест,Белинвестбанк-VYTX-142,13-02-2013,12:11:55,успешно,нет,0.0
юр. лицо,получение средств,2612.29,безналичный,Витебск,Беларусбанк-ERKT-243,26-10-2005,08:37:17,успешно,нет,0.0
юр. лицо,получение средств,236.37,безналичный,Минск,БелАгропромбанк-VLYN-118,30-04-2013,06:43:08,успешно,нет,0.0
юр. лицо,списание средств,3419.0,безналичный,Могилев,Беларусбанк-UKMT-934,26-09-2015,15:47:27,успешно,да,335.1
физ. лицо,получение средств,2411.69,наличный,Витебск,Белинвестбанк-CWSC-548,21-06-2014,23:33:32,успешно,нет,0.0
физ. лицо,получение средств,4083.71,безналичный,Гродно,БелАгропромбанк-KEVW-854,16-05-2004,12:20:03,успешно,нет,0.0
физ. лицо,получение средств,1308.63,безналичный,Гродно,Приорбанк-ZZPJ-774,21-10-2024,18:36:11,успешно,нет,0.0
юр. лицо,получение средств,91.09,безналичный,Гомель,Белинвестбанк-JARI-005,08-06-2003,14:26:55,успешно,нет,0.0
юр. лицо,получение средств,2942.68,наличный,Витебск,БелАгропромбанк-QEQZ-519,01-10-2013,06:04:22,успешно,нет,0.0
юр. лицо,получение средств,463.79,безналичный,Витебск,Белинвестбанк-FEHG-437,05-10-2003,21:57:43,успешно,нет,0.0
физ. лицо,получение средств,824.24,безналичный,Брест,БелАгропромбанк-FFAS-977,29-05-2023,21:29:04,успешно,нет,0.0
физ. лицо,получение средств,3033.14,безналичный,Могилев,Белинвестбанк-XAOB-814,02-03-2000,20:34:08,успешно,нет,0.0
физ. лицо,получение средств,4670.75,безналичный,Могилев,МаксБанк-UOFW-498,31-10-2018,14:33:39,успешно,нет,0.0
юр. лицо,списание средств,31.83,безналичный,Витебск,МаксБанк-UNOV-090,05-06-2018,23:47:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1463.26,наличный,Витебск,МаксБанк-EIAL-150,08-03-2008,13:29:16,успешно,да,72.23
